epoch,loss,val_loss
0,3.8345007660054895,3.136500356433628
1,3.1532728618938433,2.9787169791556694
2,2.9977658257069377,2.7684191175409265
3,2.877144730525461,2.6682257480449505
4,2.786513524258185,2.6152711924131924
5,2.72597653340015,2.561677818899756
6,2.6818956680264066,2.500174279685493
7,2.6293961680249165,2.636718818733284
8,2.5933759679437167,2.414891245128872
9,2.588064267628106,2.8761676753963434
10,2.5472783275366915,2.5126010727238013
11,2.5230369676462554,2.449643188768679
12,2.5120774935855557,2.44732598141507
13,2.490520289793671,2.7995067716718793
14,2.4628302975584138,2.89883051477037
15,2.4582970633190815,2.602112443597467
16,2.432853884059891,2.5196487624366006
17,2.258728592743275,2.4492724586177514
18,2.2223283725108214,2.6310809818474024
0,4.114479551847297,3.312239599043798
1,3.101719452183304,3.31410095038101
2,2.7945719837090106,3.127054516413037
3,2.567872650348223,3.4157493468877433
4,2.4125539605789594,3.385147711485049
5,2.2934884530523836,3.5796247145383973
6,2.2226737527197877,3.8010865546561576
7,2.1685678765121352,4.165835756132501
8,1.8333629892948746,4.334771825540019
9,1.777243269087199,4.334498965141856
10,1.753152852247071,4.53916242592123
11,1.7145988848891867,4.715038047333942
12,1.6950724107545683,4.629521142561924
